slug,label,level,parent_slug,parent_label,l1_slug,l1_label,l2_slug,l2_label,l3_slug,l3_label
sales-channels,Sales Channels,1,,,sales-channels,Sales Channels,,,
sales-channels-selling-in-person,Selling In Person,2,sales-channels,Sales Channels,sales-channels,Sales Channels,sales-channels-selling-in-person,Selling In Person,,
sales-channels-selling-in-person-retail,Retail,3,sales-channels-selling-in-person,Selling In Person,sales-channels,Sales Channels,sales-channels-selling-in-person,Selling In Person,sales-channels-selling-in-person-retail,Retail
sales-channels-selling-in-person-sku-and-barcodes,SKU And Barcodes,3,sales-channels-selling-in-person,Selling In Person,sales-channels,Sales Channels,sales-channels-selling-in-person,Selling In Person,sales-channels-selling-in-person-sku-and-barcodes,SKU And Barcodes
sales-channels-selling-in-person-store-locator,Store Locator,3,sales-channels-selling-in-person,Selling In Person,sales-channels,Sales Channels,sales-channels-selling-in-person,Selling In Person,sales-channels-selling-in-person-store-locator,Store Locator
sales-channels-selling-online,Selling Online,2,sales-channels,Sales Channels,sales-channels,Sales Channels,sales-channels-selling-online,Selling Online,,
sales-channels-selling-online-marketplaces,Marketplaces,3,sales-channels-selling-online,Selling Online,sales-channels,Sales Channels,sales-channels-selling-online,Selling Online,sales-channels-selling-online-marketplaces,Marketplaces
sales-channels-selling-online-product-feeds,Product Feeds,3,sales-channels-selling-online,Selling Online,sales-channels,Sales Channels,sales-channels-selling-online,Selling Online,sales-channels-selling-online-product-feeds,Product Feeds
sales-channels-selling-online-store-data-importer,Store Data Importer,3,sales-channels-selling-online,Selling Online,sales-channels,Sales Channels,sales-channels-selling-online,Selling Online,sales-channels-selling-online-store-data-importer,Store Data Importer
finding-products,Finding Products,1,,,finding-products,Finding Products,,,
finding-products-sourcing-options,Sourcing Options,2,finding-products,Finding Products,finding-products,Finding Products,finding-products-sourcing-options,Sourcing Options,,
finding-products-sourcing-options-dropshipping,Dropshipping,3,finding-products-sourcing-options,Sourcing Options,finding-products,Finding Products,finding-products-sourcing-options,Sourcing Options,finding-products-sourcing-options-dropshipping,Dropshipping
finding-products-sourcing-options-print-on-demand-pod,Print On Demand (POD),3,finding-products-sourcing-options,Sourcing Options,finding-products,Finding Products,finding-products-sourcing-options,Sourcing Options,finding-products-sourcing-options-print-on-demand-pod,Print On Demand (POD)
finding-products-sourcing-options-wholesale,Wholesale,3,finding-products-sourcing-options,Sourcing Options,finding-products,Finding Products,finding-products-sourcing-options,Sourcing Options,finding-products-sourcing-options-wholesale,Wholesale
selling-products,Selling Products,1,,,selling-products,Selling Products,,,
selling-products-custom-products,Custom Products,2,selling-products,Selling Products,selling-products,Selling Products,selling-products-custom-products,Custom Products,,
selling-products-custom-products-custom-file-upload,Custom File Upload,3,selling-products-custom-products,Custom Products,selling-products,Selling Products,selling-products-custom-products,Custom Products,selling-products-custom-products-custom-file-upload,Custom File Upload
selling-products-custom-products-product-variants,Product Variants,3,selling-products-custom-products,Custom Products,selling-products,Selling Products,selling-products-custom-products,Custom Products,selling-products-custom-products-product-variants,Product Variants
selling-products-digital-goods-and-services,Digital Goods And Services,2,selling-products,Selling Products,selling-products,Selling Products,selling-products-digital-goods-and-services,Digital Goods And Services,,
selling-products-digital-goods-and-services-digital-products,Digital Products,3,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products,Selling Products,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products-digital-goods-and-services-digital-products,Digital Products
selling-products-digital-goods-and-services-event-booking,Event Booking,3,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products,Selling Products,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products-digital-goods-and-services-event-booking,Event Booking
selling-products-digital-goods-and-services-nfts-and-tokengating,NFTs And Tokengating,3,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products,Selling Products,selling-products-digital-goods-and-services,Digital Goods And Services,selling-products-digital-goods-and-services-nfts-and-tokengating,NFTs And Tokengating
selling-products-payments,Payments,2,selling-products,Selling Products,selling-products,Selling Products,selling-products-payments,Payments,,
selling-products-payments-pay-later,Pay Later,3,selling-products-payments,Payments,selling-products,Selling Products,selling-products-payments,Payments,selling-products-payments-pay-later,Pay Later
selling-products-payments-payment-experience,Payment Experience,3,selling-products-payments,Payments,selling-products,Selling Products,selling-products-payments,Payments,selling-products-payments-payment-experience,Payment Experience
selling-products-payments-subscriptions,Subscriptions,3,selling-products-payments,Payments,selling-products,Selling Products,selling-products-payments,Payments,selling-products-payments-subscriptions,Subscriptions
selling-products-pricing,Pricing,2,selling-products,Selling Products,selling-products,Selling Products,selling-products-pricing,Pricing,,
selling-products-pricing-pricing-optimization,Pricing Optimization,3,selling-products-pricing,Pricing,selling-products,Selling Products,selling-products-pricing,Pricing,selling-products-pricing-pricing-optimization,Pricing Optimization
selling-products-pricing-pricing-quotes,Pricing Quotes,3,selling-products-pricing,Pricing,selling-products,Selling Products,selling-products-pricing,Pricing,selling-products-pricing-pricing-quotes,Pricing Quotes
orders-and-shipping,Orders And Shipping,1,,,orders-and-shipping,Orders And Shipping,,,
orders-and-shipping-inventory,Inventory,2,orders-and-shipping,Orders And Shipping,orders-and-shipping,Orders And Shipping,orders-and-shipping-inventory,Inventory,,
orders-and-shipping-inventory-erp,ERP,3,orders-and-shipping-inventory,Inventory,orders-and-shipping,Orders And Shipping,orders-and-shipping-inventory,Inventory,orders-and-shipping-inventory-erp,ERP
orders-and-shipping-inventory-inventory-optimization,Inventory Optimization,3,orders-and-shipping-inventory,Inventory,orders-and-shipping,Orders And Shipping,orders-and-shipping-inventory,Inventory,orders-and-shipping-inventory-inventory-optimization,Inventory Optimization
orders-and-shipping-inventory-inventory-sync,Inventory Sync,3,orders-and-shipping-inventory,Inventory,orders-and-shipping,Orders And Shipping,orders-and-shipping-inventory,Inventory,orders-and-shipping-inventory-inventory-sync,Inventory Sync
orders-and-shipping-orders,Orders,2,orders-and-shipping,Orders And Shipping,orders-and-shipping,Orders And Shipping,orders-and-shipping-orders,Orders,,
orders-and-shipping-orders-invoices-and-receipts,Invoices And Receipts,3,orders-and-shipping-orders,Orders,orders-and-shipping,Orders And Shipping,orders-and-shipping-orders,Orders,orders-and-shipping-orders-invoices-and-receipts,Invoices And Receipts
orders-and-shipping-orders-order-editing,Order Editing,3,orders-and-shipping-orders,Orders,orders-and-shipping,Orders And Shipping,orders-and-shipping-orders,Orders,orders-and-shipping-orders-order-editing,Order Editing
orders-and-shipping-orders-order-tracking,Order Tracking,3,orders-and-shipping-orders,Orders,orders-and-shipping,Orders And Shipping,orders-and-shipping-orders,Orders,orders-and-shipping-orders-order-tracking,Order Tracking
orders-and-shipping-returns-and-warranty,Returns And Warranty,2,orders-and-shipping,Orders And Shipping,orders-and-shipping,Orders And Shipping,orders-and-shipping-returns-and-warranty,Returns And Warranty,,
orders-and-shipping-returns-and-warranty-returns-and-exchanges,Returns And Exchanges,3,orders-and-shipping-returns-and-warranty,Returns And Warranty,orders-and-shipping,Orders And Shipping,orders-and-shipping-returns-and-warranty,Returns And Warranty,orders-and-shipping-returns-and-warranty-returns-and-exchanges,Returns And Exchanges
orders-and-shipping-returns-and-warranty-warranties-and-insurance,Warranties And Insurance,3,orders-and-shipping-returns-and-warranty,Returns And Warranty,orders-and-shipping,Orders And Shipping,orders-and-shipping-returns-and-warranty,Returns And Warranty,orders-and-shipping-returns-and-warranty-warranties-and-insurance,Warranties And Insurance
orders-and-shipping-shipping-solutions,Shipping Solutions,2,orders-and-shipping,Orders And Shipping,orders-and-shipping,Orders And Shipping,orders-and-shipping-shipping-solutions,Shipping Solutions,,
orders-and-shipping-shipping-solutions-delivery-and-pickup,Delivery And Pickup,3,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping,Orders And Shipping,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping-shipping-solutions-delivery-and-pickup,Delivery And Pickup
orders-and-shipping-shipping-solutions-shipping,Shipping,3,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping,Orders And Shipping,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping-shipping-solutions-shipping,Shipping
orders-and-shipping-shipping-solutions-shipping-rates,Shipping Rates,3,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping,Orders And Shipping,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping-shipping-solutions-shipping-rates,Shipping Rates
orders-and-shipping-shipping-solutions-third-party-logistics-3pl,Third Party Logistics (3PL),3,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping,Orders And Shipping,orders-and-shipping-shipping-solutions,Shipping Solutions,orders-and-shipping-shipping-solutions-third-party-logistics-3pl,Third Party Logistics (3PL)
store-design,Store Design,1,,,store-design,Store Design,,,
store-design-content,Content,2,store-design,Store Design,store-design,Store Design,store-design-content,Content,,
store-design-content-blogs,Blogs,3,store-design-content,Content,store-design,Store Design,store-design-content,Content,store-design-content-blogs,Blogs
store-design-content-metafields,Metafields,3,store-design-content,Content,store-design,Store Design,store-design-content,Content,store-design-content-metafields,Metafields
store-design-content-product-content,Product Content,3,store-design-content,Content,store-design,Store Design,store-design-content,Content,store-design-content-product-content,Product Content
store-design-design-elements,Design Elements,2,store-design,Store Design,store-design,Store Design,store-design-design-elements,Design Elements,,
store-design-design-elements-animation-and-effects,Animation And Effects,3,store-design-design-elements,Design Elements,store-design,Store Design,store-design-design-elements,Design Elements,store-design-design-elements-animation-and-effects,Animation And Effects
store-design-design-elements-badges-and-icons,Badges And Icons,3,store-design-design-elements,Design Elements,store-design,Store Design,store-design-design-elements,Design Elements,store-design-design-elements-badges-and-icons,Badges And Icons
store-design-images-and-media,Images And Media,2,store-design,Store Design,store-design,Store Design,store-design-images-and-media,Images And Media,,
store-design-images-and-media-3d-ar-vr,3D / AR / VR,3,store-design-images-and-media,Images And Media,store-design,Store Design,store-design-images-and-media,Images And Media,store-design-images-and-media-3d-ar-vr,3D / AR / VR
store-design-images-and-media-image-editor,Image Editor,3,store-design-images-and-media,Images And Media,store-design,Store Design,store-design-images-and-media,Images And Media,store-design-images-and-media-image-editor,Image Editor
store-design-images-and-media-image-gallery,Image Gallery,3,store-design-images-and-media,Images And Media,store-design,Store Design,store-design-images-and-media,Images And Media,store-design-images-and-media-image-gallery,Image Gallery
store-design-images-and-media-video-and-livestream,Video And Livestream,3,store-design-images-and-media,Images And Media,store-design,Store Design,store-design-images-and-media,Images And Media,store-design-images-and-media-video-and-livestream,Video And Livestream
store-design-internationalization,Internationalization,2,store-design,Store Design,store-design,Store Design,store-design-internationalization,Internationalization,,
store-design-internationalization-cookie-consent,Cookie Consent,3,store-design-internationalization,Internationalization,store-design,Store Design,store-design-internationalization,Internationalization,store-design-internationalization-cookie-consent,Cookie Consent
store-design-internationalization-currency-and-translation,Currency And Translation,3,store-design-internationalization,Internationalization,store-design,Store Design,store-design-internationalization,Internationalization,store-design-internationalization-currency-and-translation,Currency And Translation
store-design-internationalization-geolocation,Geolocation,3,store-design-internationalization,Internationalization,store-design,Store Design,store-design-internationalization,Internationalization,store-design-internationalization-geolocation,Geolocation
store-design-notifications,Notifications,2,store-design,Store Design,store-design,Store Design,store-design-notifications,Notifications,,
store-design-notifications-banners,Banners,3,store-design-notifications,Notifications,store-design,Store Design,store-design-notifications,Notifications,store-design-notifications-banners,Banners
store-design-notifications-forms,Forms,3,store-design-notifications,Notifications,store-design,Store Design,store-design-notifications,Notifications,store-design-notifications-forms,Forms
store-design-notifications-pop-ups,Pop-ups,3,store-design-notifications,Notifications,store-design,Store Design,store-design-notifications,Notifications,store-design-notifications-pop-ups,Pop-ups
store-design-product-display,Product Display,2,store-design,Store Design,store-design,Store Design,store-design-product-display,Product Display,,
store-design-product-display-collections,Collections,3,store-design-product-display,Product Display,store-design,Store Design,store-design-product-display,Product Display,store-design-product-display-collections,Collections
store-design-product-display-product-comparison,Product Comparison,3,store-design-product-display,Product Display,store-design,Store Design,store-design-product-display,Product Display,store-design-product-display-product-comparison,Product Comparison
store-design-search-and-navigation,Search And Navigation,2,store-design,Store Design,store-design,Store Design,store-design-search-and-navigation,Search And Navigation,,
store-design-search-and-navigation-navigation-and-menus,Navigation And Menus,3,store-design-search-and-navigation,Search And Navigation,store-design,Store Design,store-design-search-and-navigation,Search And Navigation,store-design-search-and-navigation-navigation-and-menus,Navigation And Menus
store-design-search-and-navigation-search-and-filters,Search And Filters,3,store-design-search-and-navigation,Search And Navigation,store-design,Store Design,store-design-search-and-navigation,Search And Navigation,store-design-search-and-navigation-search-and-filters,Search And Filters
store-design-site-optimization,Site Optimization,2,store-design,Store Design,store-design,Store Design,store-design-site-optimization,Site Optimization,,
store-design-site-optimization-accessibility,Accessibility,3,store-design-site-optimization,Site Optimization,store-design,Store Design,store-design-site-optimization,Site Optimization,store-design-site-optimization-accessibility,Accessibility
store-design-site-optimization-seo,SEO,3,store-design-site-optimization,Site Optimization,store-design,Store Design,store-design-site-optimization,Site Optimization,store-design-site-optimization-seo,SEO
store-design-storefronts,Storefronts,2,store-design,Store Design,store-design,Store Design,store-design-storefronts,Storefronts,,
store-design-storefronts-mobile-app-builder,Mobile App Builder,3,store-design-storefronts,Storefronts,store-design,Store Design,store-design-storefronts,Storefronts,store-design-storefronts-mobile-app-builder,Mobile App Builder
store-design-storefronts-page-builder,Page Builder,3,store-design-storefronts,Storefronts,store-design,Store Design,store-design-storefronts,Storefronts,store-design-storefronts-page-builder,Page Builder
marketing-and-conversion,Marketing And Conversion,1,,,marketing-and-conversion,Marketing And Conversion,,,
marketing-and-conversion-advertising,Advertising,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-advertising,Advertising,,
marketing-and-conversion-advertising-ads,Ads,3,marketing-and-conversion-advertising,Advertising,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-advertising,Advertising,marketing-and-conversion-advertising-ads,Ads
marketing-and-conversion-advertising-affiliate-programs,Affiliate Programs,3,marketing-and-conversion-advertising,Advertising,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-advertising,Advertising,marketing-and-conversion-advertising-affiliate-programs,Affiliate Programs
marketing-and-conversion-checkout,Checkout,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-checkout,Checkout,,
marketing-and-conversion-checkout-cart-customization,Cart Customization,3,marketing-and-conversion-checkout,Checkout,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-checkout,Checkout,marketing-and-conversion-checkout-cart-customization,Cart Customization
marketing-and-conversion-checkout-order-limits,Order Limits,3,marketing-and-conversion-checkout,Checkout,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-checkout,Checkout,marketing-and-conversion-checkout-order-limits,Order Limits
marketing-and-conversion-customer-loyalty,Customer Loyalty,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-customer-loyalty,Customer Loyalty,,
marketing-and-conversion-customer-loyalty-donations,Donations,3,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion-customer-loyalty-donations,Donations
marketing-and-conversion-customer-loyalty-loyalty-and-rewards,Loyalty And Rewards,3,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,Loyalty And Rewards
marketing-and-conversion-customer-loyalty-wishlists,Wishlists,3,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-customer-loyalty,Customer Loyalty,marketing-and-conversion-customer-loyalty-wishlists,Wishlists
marketing-and-conversion-gifts,Gifts,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-gifts,Gifts,,
marketing-and-conversion-gifts-gift-cards,Gift Cards,3,marketing-and-conversion-gifts,Gifts,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-gifts,Gifts,marketing-and-conversion-gifts-gift-cards,Gift Cards
marketing-and-conversion-gifts-gift-wrap-and-messages,Gift Wrap And Messages,3,marketing-and-conversion-gifts,Gifts,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-gifts,Gifts,marketing-and-conversion-gifts-gift-wrap-and-messages,Gift Wrap And Messages
marketing-and-conversion-marketing,Marketing,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-marketing,Marketing,,
marketing-and-conversion-marketing-abandoned-cart,Abandoned Cart,3,marketing-and-conversion-marketing,Marketing,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-marketing,Marketing,marketing-and-conversion-marketing-abandoned-cart,Abandoned Cart
marketing-and-conversion-marketing-email-marketing,Email Marketing,3,marketing-and-conversion-marketing,Marketing,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-marketing,Marketing,marketing-and-conversion-marketing-email-marketing,Email Marketing
marketing-and-conversion-marketing-sms-marketing,SMS Marketing,3,marketing-and-conversion-marketing,Marketing,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-marketing,Marketing,marketing-and-conversion-marketing-sms-marketing,SMS Marketing
marketing-and-conversion-marketing-web-push,Web Push,3,marketing-and-conversion-marketing,Marketing,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-marketing,Marketing,marketing-and-conversion-marketing-web-push,Web Push
marketing-and-conversion-promotions,Promotions,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-promotions,Promotions,,
marketing-and-conversion-promotions-discounts,Discounts,3,marketing-and-conversion-promotions,Promotions,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-promotions,Promotions,marketing-and-conversion-promotions-discounts,Discounts
marketing-and-conversion-promotions-giveaways-and-contests,Giveaways And Contests,3,marketing-and-conversion-promotions,Promotions,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-promotions,Promotions,marketing-and-conversion-promotions-giveaways-and-contests,Giveaways And Contests
marketing-and-conversion-social-trust,Social Trust,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-social-trust,Social Trust,,
marketing-and-conversion-social-trust-product-reviews,Product Reviews,3,marketing-and-conversion-social-trust,Social Trust,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-social-trust,Social Trust,marketing-and-conversion-social-trust-product-reviews,Product Reviews
marketing-and-conversion-social-trust-social-proof,Social Proof,3,marketing-and-conversion-social-trust,Social Trust,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-social-trust,Social Trust,marketing-and-conversion-social-trust-social-proof,Social Proof
marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,2,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,,
marketing-and-conversion-upsell-and-bundles-countdown-timer,Countdown Timer,3,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion-upsell-and-bundles-countdown-timer,Countdown Timer
marketing-and-conversion-upsell-and-bundles-pre-orders,Pre Orders,3,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion-upsell-and-bundles-pre-orders,Pre Orders
marketing-and-conversion-upsell-and-bundles-product-bundles,Product Bundles,3,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion-upsell-and-bundles-product-bundles,Product Bundles
marketing-and-conversion-upsell-and-bundles-stock-alerts,Stock Alerts,3,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion-upsell-and-bundles-stock-alerts,Stock Alerts
marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,Upsell And Cross Sell,3,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion,Marketing And Conversion,marketing-and-conversion-upsell-and-bundles,Upsell And Bundles,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,Upsell And Cross Sell
store-management,Store Management,1,,,store-management,Store Management,,,
store-management-finances,Finances,2,store-management,Store Management,store-management,Store Management,store-management-finances,Finances,,
store-management-finances-accounting,Accounting,3,store-management-finances,Finances,store-management,Store Management,store-management-finances,Finances,store-management-finances-accounting,Accounting
store-management-finances-taxes,Taxes,3,store-management-finances,Finances,store-management,Store Management,store-management-finances,Finances,store-management-finances-taxes,Taxes
store-management-operations,Operations,2,store-management,Store Management,store-management,Store Management,store-management-operations,Operations,,
store-management-operations-analytics,Analytics,3,store-management-operations,Operations,store-management,Store Management,store-management-operations,Operations,store-management-operations-analytics,Analytics
store-management-operations-bulk-editor,Bulk Editor,3,store-management-operations,Operations,store-management,Store Management,store-management-operations,Operations,store-management-operations-bulk-editor,Bulk Editor
store-management-operations-staff-notifications,Staff Notifications,3,store-management-operations,Operations,store-management,Store Management,store-management-operations,Operations,store-management-operations-staff-notifications,Staff Notifications
store-management-operations-workflow-automation,Workflow Automation,3,store-management-operations,Operations,store-management,Store Management,store-management-operations,Operations,store-management-operations-workflow-automation,Workflow Automation
store-management-security,Security,2,store-management,Store Management,store-management,Store Management,store-management-security,Security,,
store-management-security-accounts-and-login,Accounts And Login,3,store-management-security,Security,store-management,Store Management,store-management-security,Security,store-management-security-accounts-and-login,Accounts And Login
store-management-security-anti-theft,Anti Theft,3,store-management-security,Security,store-management,Store Management,store-management-security,Security,store-management-security-anti-theft,Anti Theft
store-management-security-fraud,Fraud,3,store-management-security,Security,store-management,Store Management,store-management-security,Security,store-management-security-fraud,Fraud
store-management-security-legal,Legal,3,store-management-security,Security,store-management,Store Management,store-management-security,Security,store-management-security-legal,Legal
store-management-support,Support,2,store-management,Store Management,store-management,Store Management,store-management-support,Support,,
store-management-support-chat,Chat,3,store-management-support,Support,store-management,Store Management,store-management-support,Support,store-management-support-chat,Chat
store-management-support-faq,FAQ,3,store-management-support,Support,store-management,Store Management,store-management-support,Support,store-management-support-faq,FAQ
store-management-support-helpdesk,Helpdesk,3,store-management-support,Support,store-management,Store Management,store-management-support,Support,store-management-support-helpdesk,Helpdesk
store-management-support-surveys,Surveys,3,store-management-support,Support,store-management,Store Management,store-management-support,Support,store-management-support-surveys,Surveys
